GENE_NAME	ANNOT
DLC1	induction of apoptosis;actin cytoskeleton organization;focal adhesion assembly;activation of cysteine-type endopeptidase activity involved in apoptotic process;negative regulation of cell migration;regulation of small GTPase mediated signal transduction;signal transduction;forebrain development;negative regulation of stress fiber assembly;activation of phospholipase C activity;positive regulation of Rho GTPase activity;small GTPase mediated signal transduction;cellular response to insulin stimulus;negative regulation of cell proliferation;regulation of actin cytoskeleton organization;neural tube closure;regulation of cell shape;negative regulation of Rho protein signal transduction;heart morphogenesis;hindbrain morphogenesis;positive regulation of protein dephosphorylation
DLD	"pyruvate metabolic process;branched chain family amino acid catabolic process;dihydrolipoamide metabolic process;tricarboxylic acid cycle;lipoate metabolic process;2-oxoglutarate metabolic process;regulation of acetyl-CoA biosynthetic process from pyruvate;mitochondrial electron transport, NADH to ubiquinone;cellular nitrogen compound metabolic process;proteolysis;regulation of membrane potential;lysine catabolic process;small molecule metabolic process;gastrulation;cell redox homeostasis;aging;sperm capacitation"
DLEC1	negative regulation of cell proliferation
DLEU1	-
DLEU2	-
DLEU2L	-
DLEU7	-
DLEU7-AS1	-
DLG1	mitotic cell cycle G1/S transition checkpoint;endothelial cell proliferation;interspecies interaction between organisms;actin filament organization;negative regulation of mitotic cell cycle;establishment or maintenance of cell polarity;tight junction assembly;synaptic transmission;protein localization in plasma membrane;axon guidance;cell-cell adhesion;cortical actin cytoskeleton organization
DLG2	receptor clustering;neuronal ion channel clustering;synaptic transmission;negative regulation of phosphatase activity;sensory perception of pain
DLG3	synaptic transmission;axon guidance;negative regulation of cell proliferation;negative regulation of phosphatase activity
DLG3-AS1	-
DLG4	synaptic transmission;receptor localization to synapse;nervous system development;axon guidance;learning;protein localization to synapse;establishment of protein localization;protein complex assembly;dendritic spine morphogenesis;signal transduction;alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate receptor clustering
DLG5	signal transduction;negative regulation of cell proliferation;cell-cell adhesion;intracellular signal transduction;regulation of apoptotic process
DLG5-AS1	-
DLGAP1	synaptic transmission
DLGAP1-AS1	-
DLGAP1-AS2	-
DLGAP1-AS3	-
DLGAP1-AS5	-
DLGAP3	cell-cell signaling
DLGAP4	cell-cell signaling
DLGAP5	positive regulation of mitotic metaphase/anaphase transition;M phase of mitotic cell cycle;cell cycle;mitotic chromosome movement towards spindle pole;cell-cell signaling;cell proliferation
DLK1	multicellular organismal development;embryo development;post-embryonic development;embryonic skeletal system development
DLK2	regulation of fat cell differentiation
DLL1	compartment pattern specification;regulation of neurogenesis;cell fate determination;hemopoiesis;proximal tubule development;somite specification;cell differentiation;loop of Henle development;Notch signaling pathway;regulation of cell adhesion;neuronal stem cell maintenance;Notch receptor processing;negative regulation of auditory receptor cell differentiation;cell-cell signaling;negative regulation of myeloid cell differentiation;multicellular organismal development;negative regulation of neuron differentiation;determination of left/right symmetry;inner ear development
DLL3	tissue development;cell differentiation;negative regulation of Notch signaling pathway;skeletal system development;paraxial mesoderm development;somitogenesis;negative regulation of astrocyte differentiation;multicellular organismal development;negative regulation of neurogenesis;compartment pattern specification;positive regulation of neurogenesis;central nervous system development
DLL4	blood circulation;cell differentiation;negative regulation of blood vessel endothelial cell migration;angiogenesis;regulation of neurogenesis;signal transduction;Notch signaling pathway;Notch receptor processing;multicellular organismal development
DLST	small molecule metabolic process;generation of precursor metabolites and energy;tricarboxylic acid cycle;2-oxoglutarate metabolic process;lysine catabolic process;NADH metabolic process;metabolic process;cellular nitrogen compound metabolic process
DLSTP1	-
DLX1	cell differentiation;negative regulation of transcription from RNA polymerase II promoter;odontogenesis of dentin-containing tooth;multicellular organismal development;negative regulation of neuron apoptosis;proximal/distal pattern formation;embryonic skeletal system development;hippocampus development;negative regulation of oligodendrocyte differentiation;forebrain neuron differentiation;regulation of transcription from RNA polymerase II promoter involved in forebrain neuron fate commitment;cerebral cortex GABAergic interneuron fate commitment
DLX2	"brain development;odontogenesis of dentin-containing tooth;proximal/distal pattern formation;positive regulation of transcription from RNA polymerase II promoter;hippocampus development;embryonic cranial skeleton morphogenesis;olfactory bulb development;embryonic skeletal system development;forebrain neuron differentiation;negative regulation of oligodendrocyte differentiation;negative regulation of transcription from RNA polymerase II promoter;regulation of transcription from RNA polymerase II promoter involved in forebrain neuron fate commitment;branching morphogenesis of a nerve;regulation of transcription, DNA-dependent;cerebral cortex GABAergic interneuron fate commitment;cartilage development;multicellular organismal development;cell differentiation"
DLX3	"placenta development;regulation of transcription, DNA-dependent;multicellular organismal development;blood vessel development"
DLX4	"regulation of transcription, DNA-dependent;multicellular organismal development"
DLX5	"multicellular organismal development;ear development;head development;nervous system development;positive regulation of osteoblast differentiation;face morphogenesis;axon guidance;positive regulation of transcription, DNA-dependent;bone morphogenesis;cell proliferation;positive regulation of transcription from RNA polymerase II promoter;positive regulation of canonical Wnt receptor signaling pathway;embryonic limb morphogenesis;anatomical structure formation involved in morphogenesis;skeletal system development;epithelial cell differentiation;positive regulation of epithelial cell proliferation;osteoblast differentiation;specification of segmental identity, mandibular segment;palate development;endochondral ossification;inner ear morphogenesis;olfactory pit development"
DLX6	"embryonic limb morphogenesis;epithelial cell differentiation;specification of segmental identity, mandibular segment;inner ear morphogenesis;skeletal system development;anatomical structure formation involved in morphogenesis;regulation of transcription, DNA-dependent;positive regulation of epithelial cell proliferation;multicellular organismal development;palate development;nervous system development;head development"
DLX6-AS1	-
DMAP1	"negative regulation of transcription from RNA polymerase II promoter;DNA methylation;chromatin modification;regulation of growth;positive regulation of transcription factor import into nucleus;histone H4 acetylation;histone H2A acetylation;negative regulation of transcription, DNA-dependent"
DMBT1	blastocyst development;epithelial cell differentiation;inner cell mass cell proliferation;positive regulation of epithelial cell differentiation;pattern recognition receptor signaling pathway;tissue regeneration;multicellular organismal development;induction of bacterial agglutination;response to wounding;response to estrogen stimulus;response to virus;interspecies interaction between organisms;response to organic substance;innate immune response;protein transport
DMBT1P1	-
DMBX1	"negative regulation of transcription, DNA-dependent;developmental growth;multicellular organismal development;central nervous system development;brain development"
DMC1	oocyte maturation;female gamete generation;DNA metabolic process;cell cycle;meiosis;reciprocal meiotic recombination;male meiosis I;pachytene;spermatogenesis;ovarian follicle development;spermatid development
DMD	"muscle organ development;skeletal muscle tissue development;olfactory nerve structural organization;muscle filament sliding;peptide biosynthetic process;neurotransmitter receptor metabolic process;muscle cell homeostasis;regulation of transcription, DNA-dependent;neuron projection morphogenesis"
DMGDH	glycine metabolic process;glycine catabolic process;choline metabolic process
DMKN	-
DMPK	regulation of excitatory postsynaptic membrane potential involved in skeletal muscle contraction;regulation of sodium ion transport;protein phosphorylation;cellular calcium ion homeostasis;nuclear envelope organization;regulation of heart contraction;muscle cell apoptosis;regulation of myotube differentiation
DMRT1	"regulation of transcription, DNA-dependent;multicellular organismal development;sex determination;sex differentiation;male gonad development;cell differentiation;intracellular signal transduction"
DMRT2	"regulation of transcription, DNA-dependent;sex determination;sex differentiation;male gonad development"
DMRT3	"regulation of transcription, DNA-dependent;multicellular organismal development;sex differentiation;cell differentiation"
DMRTA1	"regulation of transcription, DNA-dependent;sex differentiation;cell differentiation"
DMRTA2	"sex differentiation;regulation of transcription, DNA-dependent"
DMRTB1	"regulation of transcription, DNA-dependent;sex differentiation"
DMRTC1	-
DMRTC1B	"regulation of transcription, DNA-dependent"
DMRTC2	"regulation of transcription, DNA-dependent;sex differentiation;cell differentiation"
DMTF1	"regulation of transcription, DNA-dependent;cell cycle"
DMTN	-
DMWD	meiosis
DMXL1	-
DMXL2	-
DNA2	"base-excision repair;S phase of mitotic cell cycle;telomere maintenance via semi-conservative replication;mitotic cell cycle;DNA replication, removal of RNA primer;telomere maintenance via recombination;mitochondrial DNA repair;telomere maintenance;positive regulation of DNA replication;ATP catabolic process;mitochondrial DNA replication;DNA strand elongation involved in DNA replication"
